0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Grau acadêmico,Ingressos Total,,,,,,,,,,,,,,,,,,,,,,,,Ano,Grau acadêmico,Concluintes em Cursos de Graduação,,,,,,,,,,,,,,,,,,,,,,,
,,Total Geral,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,,,,Total Geral,,,,,,,,Modalidade de Ensino,,,,,,,,,,,,,,,
,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada ,,,,,,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,
,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins
2016,Total,2985644,529492,342986,151791,34715,2456152,1527017,929135,2142463,505002,327474,144532,32996,1637461,883523,753938,843181,24490,15512,7259,1719,818691,643494,175197,,Licenciatura,238919,78518,42267,31518,4733,160401,89809,70592,149046,67941,34928,28476,4537,81105,34648,46457,89873,10577,7339,3042,196,79296,55161,24135
,Bacharelado,1837367,300305,210156,63614,26535,1537062,879453,657609,1584230,295850,206150,63407,26293,1288380,689836,598544,253137,4455,4006,207,242,248682,189617,59065,,Tecnológico,215043,19347,7873,10448,1026,195696,132535,63161,133643,18189,6974,10411,804,115454,65313,50141,81400,1158,899,37,222,80242,67222,13020
,Licenciatura,595895,144262,89267,48094,6901,451633,309288,142345,268322,130799,80247,45035,5517,137523,65599,71924,327573,13463,9020,3059,1384,314110,243689,70421,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tecnológico,531424,64200,28016,34931,1253,467224,338114,129110,268953,57628,25530,30938,1160,211325,127926,83399,262471,6572,2486,3993,93,255899,210188,45711,2017,Total,1199769,251793,151376,83951,16466,947976,522644,425332,947606,238061,142770,79146,16145,709545,339518,370027,252163,13732,8606,4805,321,238431,183126,55305
,Não aplicável,20958,20725,15547,5152,26,233,162,71,20958,20725,15547,5152,26,233,162,71,,0,,,,,0,0,,Bacharelado,749714,155762,103078,40563,12121,593952,295812,298140,687076,152730,100758,40004,11968,534346,249093,285253,62638,3032,2320,559,153,59606,46719,12887
,,,,,,,,,,,,,,,,,,,,,,,,,,,Licenciatura,253056,74844,39827,31238,3779,178212,106390,71822,145258,65795,34656,27511,3628,79463,36609,42854,107798,9049,5171,3727,151,98749,69781,28968
2017,Total,3226249,589586,380536,181665,27385,2636663,1656526,980137,2152752,502621,329560,146591,26470,1650131,885529,764602,1073497,86965,50976,35074,915,986532,770997,215535,,Tecnológico,196999,21187,8471,12150,566,175812,120442,55370,115272,19536,7356,11631,549,95736,53816,41920,81727,1651,1115,519,17,80076,66626,13450
,Bacharelado,1940059,316825,219562,76077,21186,1623234,940535,682699,1602453,295277,208963,65307,21007,1307176,699852,607324,337606,21548,10599,10770,179,316058,240683,75375,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licenciatura,649137,186613,116165,65516,4932,462524,316096,146428,256588,130214,79795,46085,4334,126374,59857,66517,392549,56399,36370,19431,598,336150,256239,79911,2018,Total,1264288,259302,156918,85886,16498,1004986,632268,372718,990415,242450,145873,80344,16233,747965,416066,331899,273873,16852,11045,5542,265,257021,216202,40819
,Tecnológico,617317,66593,30089,35237,1267,550724,399765,150959,273975,57575,26082,30364,1129,216400,125690,90710,343342,9018,4007,4873,138,334324,274075,60249,,Bacharelado,801798,158800,104115,42291,12394,642998,367069,275929,742654,156361,102342,41651,12368,586293,320615,265678,59144,2439,1773,640,26,56705,46454,10251
,Não aplicável,19736,19555,14720,4835,0,181,130,51,19736,19555,14720,4835,0,181,130,51,0,0,0,0,0,0,0,,,Licenciatura,250453,77179,43531,30133,3515,173274,117598,55676,133070,64876,35355,26229,3292,68194,34831,33363,117383,12303,8176,3904,223,105080,82767,22313
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tecnológico,212037,23323,9272,13462,589,188714,147601,41113,114691,21213,8176,12464,573,93478,60620,32858,97346,2110,1096,998,16,95236,86981,8255
2018,Total,3445935,580936,362005,194081,24850,2864999,2127455,737544,2072614,518293,339900,154584,23809,1554321,984729,569592,1373321,62643,22105,39497,1041,1310678,1142726,167952,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacharelado,2000094,322031,217116,85794,19121,1678063,1169846,508217,1528784,299043,212945,67105,18993,1229741,772578,457163,471310,22988,4171,18689,128,448322,397268,51054,2019,Total,1250076,251374,149673,87006,14695,998702,640081,358621,934037,239206,144828,79998,14380,694831,386417,308414,316039,12168,4845,7008,315,303871,253664,50207
,Licenciatura,707048,174697,101021,69028,4648,532351,415044,117307,251462,137847,85453,48516,3878,113615,63537,50078,455586,36850,15568,20512,770,418736,351507,67229,,Bacharelado,772590,155710,102454,42331,10925,616880,357553,259327,705399,154186,101424,41854,10908,551213,302000,249213,67191,1524,1030,477,17,65667,55553,10114
,Tecnológico,719569,65139,29975,34083,1081,654430,542449,111981,273144,62334,27609,33787,938,210810,148498,62312,446425,2805,2366,296,143,443620,393951,49669,,Licenciatura,254007,71402,37836,30400,3166,182605,125939,56666,120524,63232,34745,25608,2879,57292,28543,28749,133483,8170,3091,4792,287,125313,97396,27917
,Não aplicável,19224,19069,13893,5176,0,155,116,39,19224,19069,13893,5176,0,155,116,39,0,0,0,0,0,0,0,,,Tecnológico,223479,24262,9383,14275,604,199217,156589,42628,108114,21788,8659,12536,593,86326,55874,30452,115365,2474,724,1739,11,112891,100715,12176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Total,3633320,559293,362558,172345,24390,3074027,2319389,754638,2041136,526834,346156,157471,23207,1514302,972332,541970,1592184,32459,16402,14874,1183,1559725,1347057,212668,2020,Total,1278622,204174,118470,69820,15884,1074448,702348,372100,878229,186365,108261,62587,15517,691864,386299,305565,400393,17809,10209,7233,367,382584,316049,66535
,Bacharelado,2062155,312050,222792,70876,18382,1750105,1249484,500621,1506795,306636,219043,69444,18149,1200159,767429,432730,555360,5414,3749,1432,233,549946,482055,67891,,Bacharelado,765483,126782,79797,34602,12383,638701,375559,263142,677984,124356,78088,33920,12348,553628,303744,249884,87499,2426,1709,682,35,85073,71815,13258
