"Tabela 3.04 – Número de Ingressos Total em Cursos de Graduação, por Modalidade de Ensino e Categoria Administrativa, segundo o Grau Acadêmico – Brasil – 2013-2023",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Grau acadêmico,Ingressos Total,,,,,,,,,,,,,,,,,,,,,,,
,,Total Geral,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,
,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada ,,
,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins
,,,,,,,,,,,,,,,,,,,,,,,,,
,Licenciatura,"528,507","150,829","85,774","58,201","6,854","377,678","234,183","143,495","276,575","132,821","78,554","47,938","6,329","143,754","63,749","80,005","251,932","18,008","7,220","10,263",525,"233,924","170,434","63,490"
,Tecnológico,"516,965","61,232","26,590","33,243","1,399","455,733","309,474","146,259","282,184","53,885","23,252","29,371","1,262","228,299","129,652","98,647","234,781","7,347","3,338","3,872",137,"227,434","179,822","47,612"
,Não aplicável,"21,527","21,234","16,168","5,066",0,293,205,88,"21,527","21,234","16,168","5,066",0,293,205,88,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Total,"2,985,644","529,492","342,986","151,791","34,715","2,456,152","1,527,017","929,135","2,142,463","505,002","327,474","144,532","32,996","1,637,461","883,523","753,938","843,181","24,490","15,512","7,259","1,719","818,691","643,494","175,197"
,Bacharelado,"1,837,367","300,305","210,156","63,614","26,535","1,537,062","879,453","657,609","1,584,230","295,850","206,150","63,407","26,293","1,288,380","689,836","598,544","253,137","4,455","4,006",207,242,"248,682","189,617","59,065"
,Licenciatura,"595,895","144,262","89,267","48,094","6,901","451,633","309,288","142,345","268,322","130,799","80,247","45,035","5,517","137,523","65,599","71,924","327,573","13,463","9,020","3,059","1,384","314,110","243,689","70,421"
,Tecnológico,"531,424","64,200","28,016","34,931","1,253","467,224","338,114","129,110","268,953","57,628","25,530","30,938","1,160","211,325","127,926","83,399","262,471","6,572","2,486","3,993",93,"255,899","210,188","45,711"
,Não aplicável,"20,958","20,725","15,547","5,152",26,233,162,71,"20,958","20,725","15,547","5,152",26,233,162,71,,0,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Total,"3,226,249","589,586","380,536","181,665","27,385","2,636,663","1,656,526","980,137","2,152,752","502,621","329,560","146,591","26,470","1,650,131","885,529","764,602","1,073,497","86,965","50,976","35,074",915,"986,532","770,997","215,535"
,Bacharelado,"1,940,059","316,825","219,562","76,077","21,186","1,623,234","940,535","682,699","1,602,453","295,277","208,963","65,307","21,007","1,307,176","699,852","607,324","337,606","21,548","10,599","10,770",179,"316,058","240,683","75,375"
,Licenciatura,"649,137","186,613","116,165","65,516","4,932","462,524","316,096","146,428","256,588","130,214","79,795","46,085","4,334","126,374","59,857","66,517","392,549","56,399","36,370","19,431",598,"336,150","256,239","79,911"
,Tecnológico,"617,317","66,593","30,089","35,237","1,267","550,724","399,765","150,959","273,975","57,575","26,082","30,364","1,129","216,400","125,690","90,710","343,342","9,018","4,007","4,873",138,"334,324","274,075","60,249"
,Não aplicável,"19,736","19,555","14,720","4,835",0,181,130,51,"19,736","19,555","14,720","4,835",0,181,130,51,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Total,"3,445,935","580,936","362,005","194,081","24,850","2,864,999","2,127,455","737,544","2,072,614","518,293","339,900","154,584","23,809","1,554,321","984,729","569,592","1,373,321","62,643","22,105","39,497","1,041","1,310,678","1,142,726","167,952"
,Bacharelado,"2,000,094","322,031","217,116","85,794","19,121","1,678,063","1,169,846","508,217","1,528,784","299,043","212,945","67,105","18,993","1,229,741","772,578","457,163","471,310","22,988","4,171","18,689",128,"448,322","397,268","51,054"
,Licenciatura,"707,048","174,697","101,021","69,028","4,648","532,351","415,044","117,307","251,462","137,847","85,453","48,516","3,878","113,615","63,537","50,078","455,586","36,850","15,568","20,512",770,"418,736","351,507","67,229"
,Tecnológico,"719,569","65,139","29,975","34,083","1,081","654,430","542,449","111,981","273,144","62,334","27,609","33,787",938,"210,810","148,498","62,312","446,425","2,805","2,366",296,143,"443,620","393,951","49,669"
,Não aplicável,"19,224","19,069","13,893","5,176",0,155,116,39,"19,224","19,069","13,893","5,176",0,155,116,39,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Total,"3,633,320","559,293","362,558","172,345","24,390","3,074,027","2,319,389","754,638","2,041,136","526,834","346,156","157,471","23,207","1,514,302","972,332","541,970","1,592,184","32,459","16,402","14,874","1,183","1,559,725","1,347,057","212,668"
,Bacharelado,"2,062,155","312,050","222,792","70,876","18,382","1,750,105","1,249,484","500,621","1,506,795","306,636","219,043","69,444","18,149","1,200,159","767,429","432,730","555,360","5,414","3,749","1,432",233,"549,946","482,055","67,891"
,Licenciatura,"731,682","159,556","95,475","59,450","4,631","572,126","449,853","122,273","245,752","136,620","85,221","47,468","3,931","109,132","62,492","46,640","485,930","22,936","10,254","11,982",700,"462,994","387,361","75,633"
,Tecnológico,"820,711","69,414","30,981","37,056","1,377","751,297","619,958","131,339","269,817","65,305","28,582","35,596","1,127","204,512","142,317","62,195","550,894","4,109","2,399","1,460",250,"546,785","477,641","69,144"
,Não aplicável,"18,772","18,273","13,310","4,963",0,499,94,405,"18,772","18,273","13,310","4,963",0,499,94,405,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Total,"3,765,475","527,006","342,526","163,295","21,185","3,238,469","2,600,418","638,051","1,756,496","478,706","321,709","137,308","19,689","1,277,790","830,015","447,775","2,008,979","48,300","20,817","25,987","1,496","1,960,679","1,770,403","190,276"
,Bacharelado,"2,073,519","296,147","211,348","68,936","15,863","1,777,372","1,340,172","437,200","1,331,865","283,494","207,322","60,511","15,661","1,048,371","676,599","371,772","741,654","12,653","4,026","8,425",202,"729,001","663,573","65,428"
,Licenciatura,"695,790","150,941","92,549","54,361","4,031","544,849","464,762","80,087","186,159","117,696","77,639","37,072","2,985","68,463","40,049","28,414","509,631","33,245","14,910","17,289","1,046","476,386","424,713","51,673"
,Tecnológico,"980,164","64,868","28,237","35,340","1,291","915,296","795,341","119,955","222,505","62,466","26,356","35,067","1,043","160,039","113,224","46,815","757,659","2,402","1,881",273,248,"755,257","682,117","73,140"
,Não aplicável,"16,002","15,050","10,392","4,658",0,952,143,809,"15,967","15,050","10,392","4,658",0,917,143,774,35,0,0,0,0,35,0,35
,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Total,"3,944,897","492,141","320,759","151,226","20,156","3,452,756","2,833,486","619,270","1,467,523","449,719","299,384","131,239","19,096","1,017,804","625,314","392,490","2,477,374","42,422","21,375","19,987","1,060","2,434,952","2,208,172","226,780"
